Date,tmr,microrev,mridv3l,mridv3s
27/01/2012,44179,42577,99471,96378
30/01/2012,44105,42470,99471,96531
31/01/2012,44532,42121,99471,96395
01/02/2012,44617,42121,99471,96395
02/02/2012,44617,42321,99471,95910
03/02/2012,44625,42663,99471,95004
06/02/2012,44710,42649,99471,95235
07/02/2012,44559,42841,99294,95055
08/02/2012,44750,42841,99395,95025
09/02/2012,45085,43006,99395,95084
10/02/2012,45121,42380,99360,95084
13/02/2012,45221,42380,99360,95134
14/02/2012,45297,41743,99440,95521
15/02/2012,45162,41723,99469,95521
16/02/2012,45162,41874,99780,95455
17/02/2012,45171,41874,99477,96326
21/02/2012,44906,42500,99511,96404
22/02/2012,45219,42405,99616,96641
23/02/2012,45522,42707,99828,96641
24/02/2012,45532,43329,99777,96988
27/02/2012,45585,43391,100246,97303
28/02/2012,45984,43693,100147,97413
29/02/2012,45844,44158,99896,97413
01/03/2012,45947,44158,101703,97413
02/03/2012,45821,44168,101588,98164
05/03/2012,45963,45414,101254,98164
06/03/2012,45490,45627,101091,98164
07/03/2012,46320,45753,100896,98242
08/03/2012,46320,45753,100896,97987
09/03/2012,46320,45796,100896,97955
12/03/2012,46387,45795,100958,98111
13/03/2012,47269,45458,100958,97799
14/03/2012,47269,45604,100958,97758
15/03/2012,47269,45857,100958,97775
16/03/2012,47269,45808,100958,97904
19/03/2012,47307,45753,100958,97909
20/03/2012,47303,45694,100958,98138
21/03/2012,47371,45616,100958,98138
22/03/2012,47371,45498,100867,98138
23/03/2012,47734,45498,100867,98138
26/03/2012,47872,45498,100867,97911
27/03/2012,47872,45934,100867,98103
28/03/2012,47780,45863,100814,98103
29/03/2012,47683,46211,101167,98103
30/03/2012,47542,46158,101167,98103
02/04/2012,47787,46010,101378,98029
03/04/2012,47505,46010,101378,98063
04/04/2012,47555,46168,101352,98125
05/04/2012,47659,46154,101419,97939
09/04/2012,47453,46232,101613,97939
10/04/2012,46945,46274,101390,97939
11/04/2012,47777,46281,101390,97939
12/04/2012,47777,46281,101390,97939
13/04/2012,47763,46253,101390,98075
16/04/2012,47730,46178,101287,98075
17/04/2012,47730,46178,101287,98268
18/04/2012,47730,46208,102050,98327
19/04/2012,47720,46254,101997,98992
20/04/2012,47517,46750,101997,100069
23/04/2012,47667,46448,101947,100069
24/04/2012,47736,46448,102195,100069
25/04/2012,47870,45380,102039,100069
26/04/2012,47870,45498,102073,100821
27/04/2012,47705,45153,102060,100541
30/04/2012,47752,45094,102067,100802
01/05/2012,47751,45094,102067,100802
02/05/2012,47850,44588,102108,100802
03/05/2012,47577,44588,101251,101425
04/05/2012,47413,44388,101053,101461
07/05/2012,47121,44845,101173,101461
08/05/2012,47329,44857,102408,101461
09/05/2012,47556,44857,102312,101461
10/05/2012,47556,45054,102415,101853
11/05/2012,47556,45382,102489,101853
14/05/2012,47587,45408,102553,101853
15/05/2012,47583,45173,102075,101853
16/05/2012,47576,45148,101868,101853
17/05/2012,47182,45148,101742,101853
18/05/2012,47347,45148,101356,101853
21/05/2012,47576,45148,102010,101781
22/05/2012,47615,45148,101921,101777
23/05/2012,47615,45224,101964,101597
24/05/2012,47615,45224,102050,101423
25/05/2012,47615,45224,102050,101423
29/05/2012,47615,45224,102068,101423
30/05/2012,47616,44747,102068,101518
31/05/2012,47741,44591,102282,101481
01/06/2012,47633,44418,102375,101481
04/06/2012,47788,44418,102604,101485
05/06/2012,47823,44418,102604,101485
06/06/2012,47823,44442,102604,100719
07/06/2012,47823,44651,102604,100719
08/06/2012,47823,44938,102604,100719
11/06/2012,47823,44777,102604,101374
12/06/2012,47866,44664,102599,101374
13/06/2012,47810,44871,102599,101374
14/06/2012,47810,45155,102799,101374
15/06/2012,47810,45155,102950,101374
18/06/2012,47810,45155,102950,101358
19/06/2012,47810,45155,102950,101385
20/06/2012,47810,44817,102950,101385
21/06/2012,47585,44824,102950,101385
22/06/2012,47981,44560,103717,101385
25/06/2012,48272,45119,103666,101385
26/06/2012,48256,45119,103703,101346
27/06/2012,48256,45356,103703,101346
28/06/2012,48255,45433,103836,101239
29/06/2012,48453,45433,103836,101122
02/07/2012,48527,45469,103836,101048
03/07/2012,48527,45469,103836,101038
05/07/2012,48527,45429,103836,101038
06/07/2012,48571,45399,103836,101164
09/07/2012,48582,45399,103557,101164
10/07/2012,48412,44995,103161,101890
